苏州瑞思智造信息科技有限公司-合同台账,,,,,,,,,,,,,
序号,年份,签署主体,部门,签订时间,项目编号,项目名称,客户,合同名称,金额,备注,财务-邢金艳,验收时间,验收单名称
1,,瑞思制造,瑞思制造,2017/1/1,,,梦百合家居科技股份有限公司,梦百合家居科技股份有限公司工4.0智能制造系统软件开发项目,,,已确认收到,,
2,,瑞思制造,瑞思制造,2018/1/1,,,江苏连云港杰瑞深软科技有限公司,PMS系统外协合同,310000,pms系统 含硬件设备和软件系统,已确认收到,,
3,,瑞思制造,瑞思制造,2018年9月21日,,,江苏连云港杰瑞深软科技有限公司,一次性货物采购合同,525099,pms系统 含硬件设备和软件系统,已确认收到,,
4,,瑞思制造,瑞思制造,2018年12月,,,江苏杰瑞科技集团有限责任公司,电子看板信息化系统外协合同,317000,,已确认收到,,
5,,瑞思制造,瑞思制造,2019年1月,,,中核苏阀,中核苏阀阳光供应链系统软件开发项目,238112,,已确认收到,,
6,,瑞思制造,瑞思制造,2019/7/1,,,江苏智周万物科技有限公司,装配线信息化系统外协合同,379000,,已确认收到,,
7,,瑞思制造,瑞思制造,2019年8月17日,,,梦百合家居科技股份有限公司,苏州瑞思智造信息科技有限公司海绵泡成品/半成品批次标识管理和MES过程追溯开发合同,601550,,已确认收到,,
8,,瑞思制造,瑞思制造,,SG202111170S,渤海物联emi2c一卡通管理系统软件项目,天津渤海物联科技股份有限公司,渤海物联emic2c一卡通管理系统软件V1.0开发合同,320000,,已确认收到,,
9,,瑞思制造,瑞思制造,2021年6月8日,SG202111169S,昆山宝锦_智能制造系统项目,昆山宝锦激光拼焊有限公司,瑞思智造emi2ci4.0智能制造管理系统软件 销售合同,750000,,已确认收到,,
10,,瑞思制造,瑞思制造,2022年2月10日,SG202203048S,广州大学2021年软件平台配套软件购置项目（二次）项目,广州大学,广州大学智能制造工程研究院典型流程工业过程数字孪生系统软件采购合同,374000,,已确认收到,,
12,,瑞思制造,瑞思制造,2017/1/1,,,梦百合家居科技股份有限公司,梦百合家居科技股份有限公司em²cMES第一阶段购销合同,120000,,已确认收到,,
14,,瑞思制造,瑞思制造,,SG202112188S,江苏金彭MES项目,江苏金彭集团有限公司,瑞思智造emi2ci4.0智能制造管理系统软件 销售合同,980000,,已确认收到,,
16,,瑞思制造,瑞思制造,,SG202112182S,,航天智造上海科技有限责任公司,一次性货物采购合同 航天信息化,1000000,,已确认收到,,
17,,瑞思制造,瑞思制造,,SG202112181S,,航天智造上海科技有限责任公司,一次性货物采购合同 航天立体库,2990000,,已确认收到,,
18,,瑞思制造,瑞思制造,2021年6月30日,SG202112191S,上海交大多变量预测控制参数配置软件项目,上海交通大学,销售合同多变量预测控制参数配置软件,195360,,已确认收到,,多变量预测控制参数配置软件项目验收报告
20,,瑞思制造,瑞思制造,2022,SZ202209185S,江苏蓝色源污水处理监控平台,江苏蓝色源环保科技有限公司,技术服务合同,50000,,已确认收到,,
28,,瑞思制造,瑞思制造,2019/7/8,,,天津智橙物联科技有限公司,NLTC智能检测系统开发,1000000,,已确认收到,,
37,,瑞思制造,瑞思制造,2020/10/28,,,中船重工信息科技有限公司,采购合同,30000,,已确认收到,,
38,,瑞思制造,瑞思制造,,SZ202211242S,基于IDEA平台的碳排放监控模块开发服务项目,深圳江行联加智能科技有限公司,J技术服务合同,572600,,已确认收到,,
39,,瑞思制造,瑞思制造,,SZ202209184S,西南大学天津基理伦理审查项目,天津市基理科技股份有限公司,信息技术服务类软件开发采购合同,53000,,已确认收到,,
40,,瑞思制造,瑞思制造,2022年/11/1,,,上海卓宇信息技术有限公司,物流可视化系统软件开发服务项目,992478,,已确认收到,,
41,,瑞思制造,瑞思制造,2022年/11/1,,,上海卓宇信息技术有限公司,管道系统软件开发服务项目合同,1000000,,已确认收到,,
51,,瑞思制造,瑞思制造,2022年/11/1,,,上海卓宇信息技术有限公司,虚拟3P-workshop服务项目,1052050,,已确认收到,,
43,,瑞思制造,瑞思制造,,SG202204071S,,质数物联科技太仓有限公司,高校智慧实验室LIMS系统定制化开发1,1050000,,已确认收到,,
44,,瑞思制造,瑞思制造,,SG202204071S-1,,质数物联科技太仓有限公司,高校智慧实验室LIMS系统定制化开发2,1150000,,已确认收到,,
45,,瑞思制造,瑞思制造,,SG202203060S,太仓刀具全生命周期管理平台项目,质数物联科技太仓有限公司,刀具全生命周期管理平台项目HMI系统二阶段系统软件开发技术服务合同,434400,,已确认收到,,
46,,瑞思制造,瑞思制造,,SG202203060S,太仓刀具全生命周期管理平台项目,质数物联科技太仓有限公司,刀具全生命周期管理平台项目HMI系统三阶段系统软件开发技术服务合同,228000,,已确认收到,,
49,,瑞思制造,瑞思制造,,SG202203060S,太仓刀具全生命周期管理平台项目,质数物联科技太仓有限公司,刀具全生命周期管理平台项目HMI系统一阶段系统软件开发技术服务合同,471800,,已确认收到,,
